Title,Adress,Latitude,Longitude
Trinity College,"300 Summit St, Hartford CT 06106","41,7486373","-72,6928403"
Capital Community College,"950 Main St, Hartford CT 06103","41,7681975","-72,6728629"
University of Hartford,"200 Bloomfielrd Ave, West Hartford CT 06117","41,7986018","-72,7140108"
Charter Oak State College,"55 MAnafort Drive, New Britain CT 06053","41,6882077","-72,7679453"
Hartford Seminary,"77 Sherman St, Hartford CT 06053","41,7698825","-72,7077303"
St. Thomas Seminary,"467 Bloomfield Ave, Bloomfield CT 06002","41,8069966","-72,7334989"
University of Connecticut-Hartford,"14 Prospect St, Hartford CT 06103","41,762617","-72,6727081"
Central Connecticut State University,"1615 Stanley St, New Britain CT 06050","41,6931908","-72,7638493"
Goodwin College,"1 Riverside Drive, East Hartford CT 06118","41,7428246","-72,6404704"
Manchester Community College,"Great Path, Manchester CT 06040","41,7622646","-72,5670723"
University of St. Joseph,"1678 Asylum Ave, West Hartford CT 06117","41,780976","-72,7284655"